City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,burley,42.5357,-113.7928,-2.02,86,0,0.0,US,1699597362
163,west island,-12.1568,96.8225,28.99,74,75,7.2,CC,1699597362
164,christchurch,-43.5333,172.6333,15.3,62,75,4.63,NZ,1699597363
165,constantia,44.1833,28.65,9.38,66,3,5.72,RO,1699597147
166,vila velha,-20.3297,-40.2925,22.75,82,0,1.79,BR,1699597363
167,san juan del sur,11.2529,-85.8705,26.74,82,42,4.72,NI,1699597363
168,bikenibeu village,1.3673,173.1241,29.98,79,75,1.03,KI,1699597364
169,laghouat,33.8,2.8651,12.04,65,90,2.76,DZ,1699597364
170,yung shue wan,22.2333,114.1167,28.78,77,24,5.46,HK,1699597364
171,uzgen,40.7699,73.3007,9.35,40,59,0.99,KG,1699597365
172,st. john's,47.5649,-52.7093,3.87,92,100,10.8,CA,1699597118
173,mitsamiouli,-11.3847,43.2844,27.79,77,39,3.97,KM,1699597365
174,talnakh,69.4865,88.3972,-6.55,77,99,8.73,RU,1699597365
175,hexham,54.9699,-2.104,5.67,91,96,2.16,GB,1699597365
176,chui,-33.6971,-53.4616,12.62,73,62,2.9,UY,1699597366
177,petoskey,45.3733,-84.9553,6.0,70,100,4.92,US,1699597366
178,usogorsk,63.4106,48.6872,0.37,96,99,0.87,RU,1699597366
179,cururupu,-1.8283,-44.8683,25.8,79,72,2.81,BR,1699597366
180,hadibu,12.65,54.0333,28.0,76,66,5.09,YE,1699597367
181,bestobe,52.4994,73.0975,3.1,96,100,5.81,KZ,1699597367
182,toliara,-23.35,43.6667,25.55,57,13,3.97,MG,1699597367
183,sao paulo de olivenca,-3.3783,-68.8725,23.44,95,55,0.91,BR,1699597367
184,cold springs,39.6802,-119.9766,5.05,58,75,2.57,US,1699597367
185,ufa,54.775,56.0375,6.65,90,100,8.05,RU,1699597257
186,nogliki,51.8333,143.1667,0.19,96,100,8.94,RU,1699597368
187,kailua-kona,19.6406,-155.9956,26.98,84,100,1.79,US,1699597325
188,krutinka,56.0055,71.5113,2.06,95,100,1.46,RU,1699597369
189,el bolson,-41.9667,-71.5167,5.83,96,12,2.13,AR,1699597369
190,port mathurin,-19.6833,63.4167,24.98,75,30,6.78,MU,1699597370
191,porto novo,6.4965,2.6036,25.9,87,94,2.21,BJ,1699597370
192,klyuchi,52.2667,79.1667,7.91,71,100,5.41,RU,1699597370
193,monrovia,6.3005,-10.7969,23.87,85,100,1.5,LR,1699597357
194,gargalianoi,37.0667,21.6333,17.42,64,82,1.59,GR,1699597371
195,taltal,-25.4,-70.4833,16.63,87,84,3.98,CL,1699597371
196,lompoc,34.6391,-120.4579,14.96,81,0,3.58,US,1699597148
197,mount gambier,-37.8333,140.7667,33.08,21,42,1.8,AU,1699597371
198,rada tilly,-45.9333,-67.5333,9.27,40,0,1.03,AR,1699597372
199,kaga bandoro,6.9896,19.1874,22.61,92,100,2.11,CF,1699597372
200,yatou,37.15,122.3833,5.37,49,85,8.58,CN,1699597372
201,vorgashor,67.5833,63.95,-3.34,96,99,6.21,RU,1699597285
202,koutiala,12.3917,-5.4642,25.24,24,89,3.74,ML,1699597373
203,mezhdurechenskiy,59.6,65.9333,1.62,82,79,1.33,RU,1699597373
204,tura,25.5198,90.2201,26.82,52,0,0.92,IN,1699597373
205,san antonio de pale,-1.4014,5.6325,25.79,81,100,4.58,GQ,1699597374
206,bojnurd,37.4747,57.329,13.97,54,0,1.03,IR,1699597374
207,georgetown,5.4112,100.3354,30.97,70,20,3.09,MY,1699597375
208,mana,5.6592,-53.7767,25.24,90,79,3.9,GF,1699597375
209,ebaye,8.7748,167.7392,27.81,83,100,8.63,MH,1699597375
210,banda aceh,5.5577,95.3222,28.87,74,100,4.77,ID,1699597375
211,paita,-5.0892,-81.1144,19.02,81,22,5.36,PE,1699597376
212,vladimiro-aleksandrovskoye,42.8944,133.0778,0.04,43,3,7.07,RU,1699597376
213,puerto baquerizo moreno,-0.9,-89.6,24.35,83,84,6.97,EC,1699597376
214,port alfred,-33.5906,26.891,22.32,78,2,1.79,ZA,1699597377
215,vidyayevo,69.3191,32.8049,-3.46,91,100,9.72,RU,1699597281
216,enewetak,11.3474,162.3373,28.43,73,30,7.57,MH,1699597377
217,dieppe,49.75,1.1667,6.68,90,89,1.79,FR,1699597149
218,kyshtym,55.714,60.5528,0.66,81,97,3.89,RU,1699597377
219,ha'il,27.5219,41.6907,21.01,46,0,4.12,SA,1699597378
220,pointe michel,15.25,-61.3833,27.56,77,52,7.17,DM,1699597378
221,mazsalaca,57.8633,25.0547,5.45,85,100,4.72,LV,1699597378
222,fortaleza,-3.7227,-38.5247,28.93,66,20,9.26,BR,1699597260
223,ventnor,50.5948,-1.2037,9.7,83,93,2.24,GB,1699597378
224,afaahiti,-17.75,-149.2833,25.93,85,71,4.84,PF,1699597379
225,kars,40.602,43.095,7.25,61,75,4.12,TR,1699597379
226,qarchak,35.4394,51.5689,20.37,32,71,0.96,IR,1699597379
227,rosarito,32.3333,-117.0333,15.92,39,46,1.82,MX,1699597380
228,ji'an,27.1172,114.9793,19.86,80,97,4.23,CN,1699597380
229,vangaindrano,-23.35,47.6,27.43,64,5,1.71,MG,1699597380
230,vershino-darasunskiy,52.35,115.5167,-8.53,40,16,2.4,RU,1699597380
231,aztec,36.8222,-107.9929,2.48,100,2,1.5,US,1699597380
232,ancud,-41.8697,-73.8203,6.79,91,33,1.07,CL,1699597381
233,san fernando,15.0286,120.6898,33.85,50,38,4.17,PH,1699597381
234,flying fish cove,-10.4217,105.6791,28.82,69,100,4.63,CX,1699597381
235,akjoujt,19.6969,-14.4164,21.51,28,0,4.11,MR,1699597381
236,praia,14.9215,-23.5087,23.3,68,40,2.57,CV,1699597382
237,la passe,45.5549,-0.8967,12.21,70,64,8.54,FR,1699597383
238,katabu,-4.9333,122.5167,34.33,36,3,1.93,ID,1699597383
239,hawaiian paradise park,19.5933,-154.9731,24.46,84,100,1.54,US,1699597384
240,hafar al-batin,28.4328,45.9708,22.32,30,0,2.57,SA,1699597384
241,aquiraz,-3.9014,-38.3911,28.91,81,91,6.05,BR,1699597322
242,fort bragg,35.139,-79.006,20.32,79,75,2.06,US,1699597385
243,panaba,21.2833,-88.2667,21.89,94,65,2.69,MX,1699597377
244,rawatsar,29.2833,74.3833,25.84,38,61,5.14,IN,1699597387
245,shadrinsk,56.0852,63.6335,1.29,90,94,2.1,RU,1699597388
246,baud,20.8333,84.3167,28.98,46,6,1.35,IN,1699597389
247,tsiombe,-25.3,45.4833,22.46,69,65,4.61,MG,1699597389
248,cadale,2.7603,46.3222,29.04,70,47,5.72,SO,1699597390
249,curillo,1.0333,-75.9191,21.71,99,96,1.26,CO,1699597390
250,susuman,62.7833,148.1667,-29.25,99,77,0.29,RU,1699597391
251,muscat,23.6139,58.5922,29.01,54,0,1.14,OM,1699597392
252,nikol'sk,53.7189,46.0712,3.38,96,100,8.32,RU,1699597393
253,zanjan,36.6736,48.4787,13.19,38,59,3.74,IR,1699597393
